network_path,random_seed,suitability_thresh,exposure_delay,kernel,kernel_parameters,alpha_S,alpha_L,alpha_LD,start_month,number_of_time_steps,number_of_simulations,seeding,interventions,interventions_type,time_step,accumulated_probabilities,infections_mean,infections_std,infections_min,infections_25_per,infections_50_per,infections_75_per,infections_max,filename,network,node_count,input_code
../input/networks/BD,1,0,3,moore,1,300,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD2_S100_0/new_I1-B3.csv,none,24,93.28000000000002,93.28,56.34509111652313,8.0,15.0,111.0,133.0,183.0,../work/sim_summaries/BD2_S100_I18-B3_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,300,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD2_S100_0/new_I1-B4.csv,none,24,86.19,86.19,48.99035052379647,8.0,15.0,106.5,122.0,144.0,../work/sim_summaries/BD2_S100_I18-B4_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,300,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD2_S100_0/new_I3-B1.csv,none,24,192.97,192.97,1.274893538831198,188.0,192.75,193.0,194.0,195.0,../work/sim_summaries/BD2_S100_I3-B1_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,300,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD2_S100_0/new_I3-B2.csv,none,24,188.64000000000004,188.64,6.517296334765784,151.0,188.0,191.0,192.0,194.0,../work/sim_summaries/BD2_S100_I3-B2_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,300,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD2_S100_0/new_I3-B3.csv,none,24,151.23000000000002,151.23,9.178207610938802,81.0,147.75,153.0,156.0,165.0,../work/sim_summaries/BD2_S100_I3-B3_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,300,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD2_S100_0/new_I3-B4.csv,none,24,121.72,121.72,10.844241594393576,58.0,119.0,123.0,127.0,136.0,../work/sim_summaries/BD2_S100_I3-B4_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,300,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD2_S100_0/new_I6-B1.csv,none,24,201.3399999999999,201.34,1.1121005695384194,198.0,201.0,202.0,202.0,203.0,../work/sim_summaries/BD2_S100_I6-B1_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,300,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD2_S100_0/new_I6-B2.csv,none,24,198.65,198.65,1.622910466981584,195.0,198.0,199.0,199.0,203.0,../work/sim_summaries/BD2_S100_I6-B2_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,300,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD2_S100_0/new_I6-B3.csv,none,24,164.25999999999996,164.26,6.829259687461582,152.0,159.0,163.0,169.0,183.0,../work/sim_summaries/BD2_S100_I6-B3_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,300,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD2_S100_0/new_I6-B4.csv,none,24,145.26000000000002,145.26,15.57427301025572,111.0,133.5,149.0,155.25,174.0,../work/sim_summaries/BD2_S100_I6-B4_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,500,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD1_S100_0/new_I12-B1.csv,none,24,202.96,202.96,1.4064785167864522,200.0,201.0,204.0,204.0,204.0,../work/sim_summaries/BD1_S100_I1-B1_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,500,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD1_S100_0/new_I12-B2.csv,none,24,199.51,199.51,2.463859992086819,196.0,199.0,199.0,201.0,204.0,../work/sim_summaries/BD1_S100_I1-B2_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,500,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD1_S100_0/new_I12-B3.csv,none,24,197.03,197.03,4.432330713694044,182.0,196.0,198.0,199.0,204.0,../work/sim_summaries/BD1_S100_I1-B3_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,500,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD1_S100_0/new_I12-B4.csv,none,24,196.49000000000004,196.49,4.887615766279903,180.0,195.0,198.0,199.0,204.0,../work/sim_summaries/BD1_S100_I1-B4_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,500,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD1_S100_0/new_I18-B1.csv,none,24,203.48000000000005,203.48,0.6273239621880815,201.0,203.0,204.0,204.0,204.0,../work/sim_summaries/BD1_S100_I12-B1_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,500,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD1_S100_0/new_I18-B2.csv,none,24,203.47000000000003,203.47,0.6428314889862842,201.0,203.0,204.0,204.0,204.0,../work/sim_summaries/BD1_S100_I12-B2_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,500,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD1_S100_0/new_I18-B3.csv,none,24,203.47000000000003,203.47,0.6428314889862842,201.0,203.0,204.0,204.0,204.0,../work/sim_summaries/BD1_S100_I12-B3_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,500,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD1_S100_0/new_I18-B4.csv,none,24,203.47000000000003,203.47,0.6428314889862842,201.0,203.0,204.0,204.0,204.0,../work/sim_summaries/BD1_S100_I12-B4_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,500,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD1_S100_0/new_I1-B1.csv,none,24,186.0600000000001,186.06,19.8513770735728,8.0,186.0,190.0,192.0,194.0,../work/sim_summaries/BD1_S100_I18-B1_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,500,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD1_S100_0/new_I1-B2.csv,none,24,170.88000000000002,170.88,42.57074444766362,8.0,170.75,187.0,192.0,194.0,../work/sim_summaries/BD1_S100_I18-B2_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,500,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD1_S100_0/new_I1-B3.csv,none,24,95.03,95.03,56.76879477852301,8.0,15.0,112.0,133.0,185.0,../work/sim_summaries/BD1_S100_I18-B3_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,500,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD1_S100_0/new_I1-B4.csv,none,24,87.99999999999999,88.0,49.633200032383016,8.0,15.0,109.5,124.25,144.0,../work/sim_summaries/BD1_S100_I18-B4_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,500,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD1_S100_0/new_I3-B1.csv,none,24,193.39,193.39,1.0720979150217296,189.0,193.0,194.0,194.0,196.0,../work/sim_summaries/BD1_S100_I3-B1_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,500,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD1_S100_0/new_I3-B2.csv,none,24,189.61000000000007,189.61,6.441492706106891,152.0,188.0,192.0,193.0,195.0,../work/sim_summaries/BD1_S100_I3-B2_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,500,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD1_S100_0/new_I3-B3.csv,none,24,152.89,152.89,9.294176519289762,81.0,150.0,154.0,158.0,166.0,../work/sim_summaries/BD1_S100_I3-B3_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,500,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD1_S100_0/new_I3-B4.csv,none,24,98.57,98.57,46.35594717383994,13.0,82.75,117.0,130.0,151.0,../work/sim_summaries/BD1_S100_I3-B4_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,500,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD1_S100_0/new_I6-B1.csv,none,24,202.1,202.1,0.9898474527915804,199.0,202.0,202.0,203.0,203.0,../work/sim_summaries/BD1_S100_I6-B1_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,500,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD1_S100_0/new_I6-B2.csv,none,24,195.56,195.56,1.4164973160809895,193.0,195.0,195.0,196.0,199.0,../work/sim_summaries/BD1_S100_I6-B2_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,500,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD1_S100_0/new_I6-B3.csv,none,24,165.26000000000005,165.26,6.539113089708726,152.0,160.0,164.5,169.0,183.0,../work/sim_summaries/BD1_S100_I6-B3_summary.csv,BD,211,
../input/networks/BD,1,0,3,moore,1,500,0.2,50,5,24,100,../input/seeding/seed_BD_Rajshahi.csv,../work/interventions/BD1_S100_0/new_I6-B4.csv,none,24,146.12000000000003,146.12,15.736645773544634,111.0,133.75,150.5,156.25,174.0,../work/sim_summaries/BD1_S100_I6-B4_summary.csv,BD,211,
